food_group_clean,n,n_up,n_down,pct_up,pct_down,pct_any
Composite foods,37166,6060,1,16.30522520583329,0.0026906312220847024,16.307915837055372
Beverages,45163,4024,3020,8.909948409095941,6.686889710603813,15.596838119699754
Milk and dairy products,62661,7884,759,12.581988796859292,1.2112797433810505,13.793268540240339
Cereals and potatoes,71163,8496,294,11.93878841532819,0.41313603979596136,12.35192445512415
Fruits and vegetables,30401,2897,780,9.529291799611855,2.565705075490938,12.094996875102792
Fish‚ Meat‚ Eggs,52820,5456,369,10.329420673987126,0.6985990155244226,11.028019689511549
Fats and sauces,44407,1674,142,3.769675951989551,0.3197694057243228,4.089445357713874
Salty snacks,28811,652,252,2.2630245392384856,0.8746659262087397,3.1376904654472253
Sugary snacks,97639,2546,128,2.607564600210981,0.13109515664847035,2.7386597568594517
