feature,all,nova4,nova1,composite,beverages,dairy
negative_score,0.8567606,1.0186533,0.2975355,0.50822675,0.39267376,0.84093046
salt_100g,0.80279493,0.9196081,0.27770397,0.968441,0.38665643,0.7308958
saturated_fat_100g,0.65127355,0.74298745,0.25550267,0.7717606,0.22155656,1.0382997
additives_count,0.5899698,0.5427605,1.0282307,0.46371627,0.5186714,0.5329772
positive_score,0.48105586,0.54082775,0.3052217,0.50192547,0.5218398,0.43109557
sugar_100g,0.40718845,0.5402982,0.16470926,0.223685,0.25050566,0.37462363
energy_kcal_100g,0.37178364,0.37865162,0.33808175,0.28880784,0.26136345,0.25393513
carbs_100g,0.33591616,0.364332,0.31614944,0.20501532,0.1294538,0.19006103
salt_energy_ratio,0.27661645,0.2940327,0.1805965,0.35497662,0.19288462,0.2563733
sat_fat_ratio,0.27367496,0.29223102,0.15232186,0.2892835,0.15741137,0.56596386
protein_energy_ratio,0.23563057,0.2484247,0.19906867,0.23691492,0.27777317,0.27475423
sugar_carb_ratio,0.19016655,0.19720761,0.19805203,0.1215167,0.32447833,0.2323081
protein_100g,0.183967,0.18382896,0.21812858,0.20235078,0.19264941,0.19761527
fat_energy_ratio,0.16111486,0.15817726,0.14728169,0.11697051,0.09679533,0.23894529
fat_100g,0.14916852,0.15701666,0.10305199,0.104468346,0.05427653,0.16527644
