random_intercept,country_code,n_products,discordance_any_pct
-0.8880851802041945,DZA,373,4.289544235924933
-0.6272187802751447,BGR,2205,6.757369614512472
-0.6256384807516686,RUS,71,2.8169014084507045
-0.6084367644176771,AFG,83,3.614457831325301
-0.6051063648879523,AUT,6254,6.9875279820914615
-0.5037813634824817,CHN,82,4.878048780487805
-0.4725474925786065,DEU,66871,7.946643537557387
-0.45306678951149437,BIH,63,4.761904761904762
-0.4424413392896851,ITA,20972,8.16326530612245
-0.4373441598307572,CHE,10023,8.191160331238152
-0.429605228750074,HUN,278,7.553956834532374
-0.4034960782432137,PHL,270,7.777777777777778
-0.39255585458802716,IND,594,8.24915824915825
-0.3924518753942961,QAT,68,5.88235294117647
-0.3555120846587314,CZE,1578,8.745247148288973
-0.34970275962290914,FRA,484136,8.896260554885405
-0.33978107385523293,ESP,27431,8.971601472786265
-0.3278445741747109,TUR,171,8.187134502923977
-0.3167561834680648,UKR,136,8.088235294117647
-0.30787338288703864,TUN,102,7.84313725490196
-0.2748617164342039,MAR,738,9.34959349593496
-0.2720657834880013,HRV,736,9.375
-0.24263336955440623,POL,6907,9.78717243376285
-0.24149210420185924,CAN,11628,9.803921568627452
-0.24112059042291248,BOL,755,9.668874172185433
-0.1697468738409549,SWE,3915,10.446998722860792
-0.13015883638684692,LTU,107,10.2803738317757
-0.12715144125208047,ROU,686,10.787172011661808
-0.12555534445784888,BEL,22451,10.885929357266935
-0.1097469618983477,DNK,883,10.98527746319366
-0.08892406120198441,HKG,57,10.526315789473683
-0.026664090950036464,ALB,102,11.76470588235294
0.0016643137373647291,SRB,82,12.195121951219512
0.019306747695915134,European Union,72,12.5
0.06353060343602547,SGP,91,13.186813186813188
0.07108680005776233,PRT,5280,12.954545454545457
0.09567775713063373,GRC,231,13.41991341991342
0.10911420771491433,SVN,56,14.285714285714285
0.12995766275355966,JPN,113,14.15929203539823
0.15306818259931362,SAU,110,14.545454545454543
0.15306818259931743,World,110,14.545454545454543
0.159621404745179,MEX,5045,13.994053518334985
0.18985797209488614,ARG,663,14.479638009049776
0.20307754361529537,ZAF,90,15.555555555555555
0.2704715294796628,AND,122,16.39344262295082
0.29309182892461605,GBR,28128,15.667662116040956
0.3086974352600714,SVK,54,18.51851851851852
0.31499374013426124,NOR,743,16.1507402422611
0.3554990050907878,AUS,2771,16.56441717791411
0.3947194911224679,IRL,3672,17.10239651416122
0.41079582459542835,LVA,70,20
0.4893538486570839,BRA,3221,18.503570319776465
0.4936871335439048,EST,139,20.14388489208633
0.5041290474394639,NLD,2094,18.76790830945559
0.5110614978000692,ARE,62,22.58064516129032
0.5294882066145058,USA,33530,19.05159558604235
0.5384343930756511,FIN,1186,19.3929173693086
0.5874289792743226,NZL,262,20.99236641221374
0.725964889785569,COL,223,23.766816143497756
0.7426793977664417,THA,273,23.809523809523807
0.7708964109800196,LUX,106,26.41509433962264
0.8227694835209073,CUB,55,30.909090909090907
0.9161735695400806,CHL,866,26.212471131639724
