feature_1,feature_2,mean_abs_interaction
additives_count,negative_score,0.19682328
salt_100g,additives_count,0.16734824
saturated_fat_100g,additives_count,0.14254078
additives_count,positive_score,0.13790566
saturated_fat_100g,negative_score,0.1311716
sugar_100g,additives_count,0.12751475
protein_100g,positive_score,0.1100235
salt_100g,positive_score,0.10460327
salt_100g,negative_score,0.10305964
saturated_fat_100g,salt_100g,0.08575547
energy_kcal_100g,positive_score,0.07246007
energy_kcal_100g,additives_count,0.07101739
negative_score,positive_score,0.06899796
saturated_fat_100g,sugar_100g,0.066969454
saturated_fat_100g,positive_score,0.06317592
additives_count,sat_fat_ratio,0.062369496
energy_kcal_100g,negative_score,0.061475243
sugar_100g,salt_100g,0.061475106
additives_count,salt_energy_ratio,0.06096045
carbs_100g,positive_score,0.059463598
carbs_100g,additives_count,0.058715355
energy_kcal_100g,saturated_fat_100g,0.054852515
protein_100g,salt_100g,0.05454629
carbs_100g,salt_100g,0.05234564
energy_kcal_100g,carbs_100g,0.04966114
salt_energy_ratio,negative_score,0.048213843
additives_count,sugar_carb_ratio,0.04693876
energy_kcal_100g,salt_energy_ratio,0.045927376
protein_energy_ratio,positive_score,0.04495328
salt_100g,salt_energy_ratio,0.044612374
energy_kcal_100g,sugar_100g,0.044333838
salt_100g,sugar_carb_ratio,0.044278704
salt_energy_ratio,positive_score,0.043366298
energy_kcal_100g,salt_100g,0.042876024
fat_100g,negative_score,0.042521026
additives_count,protein_energy_ratio,0.041976515
sugar_100g,positive_score,0.041740324
protein_100g,negative_score,0.040977135
saturated_fat_100g,sat_fat_ratio,0.040972594
protein_energy_ratio,negative_score,0.040880144
saturated_fat_100g,protein_100g,0.040207308
sat_fat_ratio,negative_score,0.03979688
carbs_100g,negative_score,0.039584335
salt_100g,sat_fat_ratio,0.039365005
saturated_fat_100g,carbs_100g,0.03931386
salt_100g,protein_energy_ratio,0.039141867
protein_100g,additives_count,0.037887733
sugar_carb_ratio,negative_score,0.037496753
sat_fat_ratio,positive_score,0.037388533
saturated_fat_100g,protein_energy_ratio,0.036835756
carbs_100g,sugar_100g,0.035833765
carbs_100g,salt_energy_ratio,0.035409044
protein_100g,protein_energy_ratio,0.034550935
fat_100g,saturated_fat_100g,0.03454633
sugar_carb_ratio,positive_score,0.03418912
fat_100g,additives_count,0.03352917
fat_energy_ratio,negative_score,0.032457564
saturated_fat_100g,salt_energy_ratio,0.032381352
protein_energy_ratio,salt_energy_ratio,0.03213573
energy_kcal_100g,protein_energy_ratio,0.03203826
carbs_100g,protein_energy_ratio,0.03164158
sugar_100g,negative_score,0.03067227
saturated_fat_100g,sugar_carb_ratio,0.030669454
carbs_100g,protein_100g,0.030442948
sugar_100g,salt_energy_ratio,0.030104917
additives_count,fat_energy_ratio,0.030003985
sugar_100g,sat_fat_ratio,0.029586341
sugar_100g,protein_energy_ratio,0.029181592
salt_100g,fat_energy_ratio,0.028704843
sugar_100g,sugar_carb_ratio,0.028172811
energy_kcal_100g,sat_fat_ratio,0.027436813
sugar_100g,protein_100g,0.02718773
energy_kcal_100g,protein_100g,0.026723078
protein_100g,salt_energy_ratio,0.026580224
saturated_fat_100g,fat_energy_ratio,0.026448816
carbs_100g,sat_fat_ratio,0.02613628
sat_fat_ratio,protein_energy_ratio,0.026026934
energy_kcal_100g,sugar_carb_ratio,0.025902405
fat_100g,sat_fat_ratio,0.02558784
fat_100g,positive_score,0.025543664
carbs_100g,sugar_carb_ratio,0.025297236
energy_kcal_100g,fat_100g,0.024629623
fat_energy_ratio,positive_score,0.024199288
sugar_carb_ratio,salt_energy_ratio,0.023855878
energy_kcal_100g,fat_energy_ratio,0.023722075
carbs_100g,fat_energy_ratio,0.02351888
fat_energy_ratio,sat_fat_ratio,0.023460064
sugar_carb_ratio,protein_energy_ratio,0.022925083
fat_100g,salt_100g,0.02287454
sat_fat_ratio,salt_energy_ratio,0.022573287
protein_100g,sat_fat_ratio,0.022556884
sugar_100g,fat_energy_ratio,0.022123044
fat_100g,fat_energy_ratio,0.02208007
sugar_carb_ratio,sat_fat_ratio,0.021732515
protein_100g,sugar_carb_ratio,0.021415265
protein_100g,fat_energy_ratio,0.020293748
fat_100g,sugar_100g,0.020018293
fat_100g,carbs_100g,0.01960163
sugar_carb_ratio,fat_energy_ratio,0.019393543
fat_100g,salt_energy_ratio,0.018376717
fat_energy_ratio,protein_energy_ratio,0.01835809
fat_energy_ratio,salt_energy_ratio,0.016855303
fat_100g,protein_energy_ratio,0.016235055
fat_100g,protein_100g,0.015357669
fat_100g,sugar_carb_ratio,0.014602927
